ID,Itemsets
T1,"Lassi,Coffee Powder,Butter,Yougurt,Ghee,Cheese,"
T2,"Ghee,Coffee Powder,"
T3,"Lassi,Tea Powder,Butter,Cheese,"
T4,"Cheese,Tea Powder,Panner,Coffee Powder,Butter,Bread,"
T5,"Cheese,Yougurt,Coffee Powder,Sugar,Butter,Sweet,"
T6,"Sugar,Tea Powder,Ghee,Sweet,Panner,Milk,"
T7,"Sweet,Coffee Powder,"
T8,"Butter,Ghee,Panner,"
T9,"Sweet,Tea Powder,Butter,Yougurt,Sugar,Cheese,"
T10,"Panner,Ghee,"
T11,"Milk,Panner,Tea Powder,Sweet,Bread,"
T12,"Ghee,Coffee Powder,Milk,Yougurt,Lassi,Sugar,Butter,Panner,"
T13,"Butter,Coffee Powder,Panner,Sweet,Ghee,Lassi,"
T14,"Bread,Lassi,Coffee Powder,Tea Powder,Sweet,Ghee,Sugar,Panner,"
T15,"Milk,Sweet,Butter,Sugar,Lassi,Panner,"
T16,"Bread,Coffee Powder,Tea Powder,"
T17,"Butter,Ghee,Milk,Cheese,"
T18,"Bread,Coffee Powder,"
T19,"Cheese,Tea Powder,Sweet,Lassi,Coffee Powder,Sugar,"
T20,"Panner,Lassi,Butter,Cheese,Yougurt,Tea Powder,Milk,"
T21,"Coffee Powder,Cheese,Tea Powder,Yougurt,Sugar,"
T22,"Lassi,Ghee,Cheese,Sweet,Coffee Powder,Bread,"
T23,"Coffee Powder,Panner,Butter,Ghee,Tea Powder,Yougurt,"
T24,"Yougurt,Sweet,Milk,Butter,Coffee Powder,Lassi,"
T25,"Sugar,Coffee Powder,Milk,Butter,Cheese,Yougurt,"
T26,"Lassi,Yougurt,Ghee,Cheese,Butter,Milk,Panner,"
T27,"Panner,Yougurt,Sugar,Coffee Powder,Milk,Cheese,"
T28,"Panner,Milk,Sweet,"
T29,"Bread,Coffee Powder,"
T30,"Sweet,Cheese,"
T31,"Yougurt,Bread,Tea Powder,Coffee Powder,"
T32,"Lassi,Sweet,Panner,"
T33,"Milk,Butter,Bread,Tea Powder,Panner,Ghee,"
T34,"Butter,Cheese,Panner,Sugar,"
T35,"Cheese,Yougurt,Sugar,Bread,Butter,Panner,"
T36,"Lassi,Bread,Panner,Milk,"
T37,"Ghee,Bread,Cheese,Sugar,Coffee Powder,Sweet,Yougurt,Lassi,"
T38,"Bread,Yougurt,Ghee,Tea Powder,Panner,Milk,Lassi,Coffee Powder,"
T39,"Sugar,Milk,Butter,Ghee,Cheese,"
T40,"Cheese,Panner,Sugar,Yougurt,Ghee,"
T41,"Sweet,Panner,Bread,"
T42,"Coffee Powder,Milk,Bread,"
T43,"Cheese,Lassi,Coffee Powder,Tea Powder,Bread,Panner,Butter,"
T44,"Cheese,Tea Powder,Milk,Yougurt,Ghee,"
T45,"Sugar,Yougurt,Bread,Butter,Ghee,Milk,Lassi,"
T46,"Butter,Tea Powder,Cheese,Yougurt,Bread,Ghee,Coffee Powder,"
T47,"Sugar,Milk,"
T48,"Sweet,Butter,"
T49,"Yougurt,Bread,Sweet,"
T50,"Cheese,Coffee Powder,Butter,Sugar,Panner,Bread,Lassi,Tea Powder,Ghee,"
T51,"Yougurt,Panner,Butter,Lassi,Sugar,Bread,Tea Powder,Milk,"
T52,"Butter,Lassi,"
T53,"Sugar,Panner,Tea Powder,Sweet,Coffee Powder,Cheese,Lassi,Milk,Butter,"
T54,"Lassi,Butter,"
T55,"Coffee Powder,Butter,Ghee,"
T56,"Lassi,Butter,Bread,Ghee,Coffee Powder,"
T57,"Butter,Sugar,Yougurt,"
T58,"Lassi,Butter,"
T59,"Ghee,Bread,Cheese,Lassi,Tea Powder,Coffee Powder,Sweet,Butter,"
T60,"Panner,Milk,Bread,Yougurt,"
T61,"Panner,Tea Powder,"
T62,"Bread,Panner,"
T63,"Yougurt,Sugar,Sweet,Ghee,Bread,Butter,Coffee Powder,Lassi,Tea Powder,Milk,Panner,"
T64,"Tea Powder,Sweet,Lassi,Ghee,"
T65,"Lassi,Coffee Powder,Sugar,"
T66,"Cheese,Sugar,Tea Powder,Butter,"
T67,"Bread,Yougurt,Milk,Panner,Sweet,Tea Powder,Cheese,"
T68,"Bread,Ghee,Yougurt,Milk,Coffee Powder,"
T69,"Coffee Powder,Butter,Lassi,Ghee,"
T70,"Lassi,Bread,Coffee Powder,Milk,Sugar,"
T71,"Ghee,Milk,Coffee Powder,Yougurt,Sweet,"
T72,"Coffee Powder,Tea Powder,Panner,Sweet,Ghee,Milk,Sugar,"
T73,"Lassi,Bread,Panner,Tea Powder,Milk,"
T74,"Ghee,Butter,Tea Powder,Bread,Sweet,Sugar,Yougurt,"
T75,"Tea Powder,Panner,Coffee Powder,"
T76,"Milk,Butter,Tea Powder,Sugar,Sweet,"
T77,"Coffee Powder,Milk,Yougurt,Cheese,Tea Powder,Sugar,Bread,"
T78,"Coffee Powder,Lassi,Panner,Bread,Butter,Tea Powder,"
T79,"Cheese,Bread,Sugar,Sweet,Milk,Coffee Powder,"
T80,"Butter,Ghee,Sugar,"
T81,"Sugar,Yougurt,Coffee Powder,Butter,Sweet,"
T82,"Panner,Ghee,"
T83,"Sweet,Lassi,Ghee,Coffee Powder,Sugar,Butter,"
T84,"Tea Powder,Butter,Sugar,"
T85,"Tea Powder,Coffee Powder,Cheese,Milk,Lassi,"
T86,"Panner,Lassi,Butter,Coffee Powder,"
T87,"Butter,Sugar,Lassi,Panner,"
T88,"Milk,Cheese,Panner,Coffee Powder,Sweet,"
T89,"Panner,Tea Powder,Lassi,Yougurt,Coffee Powder,Bread,Cheese,Ghee,"
T90,"Butter,Panner,Coffee Powder,Sweet,Lassi,"
T91,"Lassi,Cheese,Panner,Bread,Ghee,Milk,Sweet,Sugar,"
T92,"Ghee,Yougurt,Coffee Powder,Panner,"
T93,"Coffee Powder,Yougurt,Ghee,Cheese,Bread,"
T94,"Lassi,Tea Powder,Panner,Butter,Sweet,"
T95,"Milk,Sweet,Butter,Cheese,Tea Powder,Panner,"
T96,"Tea Powder,Lassi,Coffee Powder,Cheese,Butter,Sugar,Sweet,Milk,"
T97,"Sweet,Bread,Coffee Powder,Cheese,Yougurt,Ghee,Tea Powder,Milk,"
T98,"Yougurt,Milk,Bread,Butter,Lassi,Cheese,Sweet,"
T99,"Yougurt,Milk,Butter,"
T100,"Tea Powder,Bread,Sweet,Cheese,"
T101,"Panner,Tea Powder,"
T102,"Bread,Panner,Cheese,Butter,Yougurt,"
T103,"Coffee Powder,Tea Powder,Sweet,Bread,Milk,Lassi,Ghee,"
T104,"Yougurt,Lassi,Cheese,Sugar,Butter,"
T105,"Milk,Yougurt,Tea Powder,Lassi,Sweet,Cheese,Bread,"
T106,"Milk,Coffee Powder,Cheese,Panner,Ghee,Sugar,Tea Powder,Sweet,"
T107,"Sugar,Butter,Tea Powder,Coffee Powder,Bread,Milk,Lassi,"
T108,"Ghee,Tea Powder,Sweet,"
T109,"Lassi,Panner,Milk,Tea Powder,Ghee,"
T110,"Milk,Panner,Sweet,Sugar,Bread,Butter,"
T111,"Sugar,Milk,Bread,"
T112,"Butter,Milk,Tea Powder,Yougurt,Ghee,"
T113,"Butter,Bread,Cheese,Coffee Powder,"
T114,"Cheese,Ghee,Coffee Powder,Yougurt,Bread,Tea Powder,Butter,"
T115,"Yougurt,Coffee Powder,Sugar,Milk,"
T116,"Ghee,Bread,Tea Powder,Butter,Panner,Cheese,"
T117,"Bread,Butter,Milk,Panner,Sugar,Cheese,Sweet,Ghee,Yougurt,"
T118,"Butter,Panner,Milk,"
