ID,Itemsets
T1,"citrus fruit,coffee"
T2,"curd,soda"
T3,"other vegetables,yogurt"
T4,"specialty chocolate,frozen vegetables"
T5,"hamburger meat,candles"
T6,"tropical fruit,other vegetables"
T7,"sausage,bottled water"
T8,"bottled water,Instant food products"
T9,"cleaner,shopping bags"
T10,"sliced cheese,bottled water"
T11,"hamburger meat,bottled beer,domestic eggs"
T12,"yogurt,frozen vegetables"
T13,"hamburger meat,frozen potato products"
T14,"whole milk,flower (seeds)"
T15,"berries,whipped/sour cream,bottled water"
T16,"onions,whipped/sour cream,dishes"
T17,"waffles,whole milk"
T18,"other vegetables,yogurt,Instant food products"
T19,"yogurt,shopping bags,waffles,chocolate"
T20,"soda,brown bread"
T21,"butter,frozen vegetables"
T22,"canned beer,margarine,chocolate"
T23,"sausage,sausage,bottled beer,spread cheese"
T24,"tropical fruit,turkey,salty snack"
T25,"beef,pastry,curd"
T26,"pork,pickled vegetables"
T27,"butter,pastry"
T28,"frozen meals,other vegetables"
T29,"tropical fruit,meat,pip fruit,salt,pot plants"
T30,"whole milk,white bread,canned beer,brown bread,fruit/vegetable juice"
T31,"citrus fruit,tropical fruit,soda,bottled water"
T32,"citrus fruit,whole milk"
T33,"frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes"
T34,"dessert,soda"
T35,"butter,tropical fruit"
T36,"ham,brown bread"
T37,"canned beer,hamburger meat"
T38,"root vegetables,bottled beer"
T39,"chicken,butter"
T40,"other vegetables,whole milk,soda"
T41,"frozen vegetables,specialty bar"
T42,"frozen vegetables,tropical fruit"
T43,"frankfurter,sparkling wine"
T44,"fruit/vegetable juice,napkins"
T45,"beef,fruit/vegetable juice"
T46,"waffles,brown bread"
T47,"pastry,canned beer"
T48,"other vegetables,white bread"
T49,"citrus fruit,pickled vegetables"
T50,"meat,curd"
T51,"ice cream,yogurt"
T52,"butter,candy"
T53,"soda,dishes"
T54,"waffles,yogurt"
T55,"root vegetables,soft cheese"
T56,"frozen dessert,misc. beverages"
T57,"brown bread,butter milk,oil,frozen meals"
T58,"soda,shopping bags"
T59,"brown bread,yogurt"
T60,"pip fruit,frozen fish"
T61,"beef,condensed milk"
T62,"frozen vegetables,dessert"
T63,"soda,other vegetables"
T64,"sugar,cream cheese "
T65,"rolls/buns,whipped/sour cream,bottled beer"
T66,"hard cheese,bottled water"
T67,"other vegetables,sliced cheese"
T68,"bottled water,yogurt"
T69,"whole milk,tropical fruit"
T70,"pip fruit,tropical fruit"
T71,"pork,yogurt,yogurt,canned fish"
T72,"frozen meals,beef"
T73,"sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil"
T74,"tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese"
T75,"whole milk,other vegetables,white bread"
T76,"whole milk,liver loaf"
T77,"canned beer,root vegetables,whole milk,whole milk,newspapers"
T78,"canned beer,other vegetables"
T79,"canned beer,whole milk,pork,oil"
T80,"ham,other vegetables"
T81,"soda,UHT-milk"
T82,"canned beer,pip fruit,sugar"
T83,"soda,yogurt"
T84,"domestic eggs,whole milk,artif. sweetener"
T85,"other vegetables,frozen vegetables"
T86,"whole milk,other vegetables"
T87,"soda,whipped/sour cream"
T88,"pastry,liqueur"
T89,"preservation products,soups"
T90,"other vegetables,brown bread"
T91,"sausage,white bread"
T92,"curd,whipped/sour cream"
T93,"other vegetables,salty snack,soda"
T94,"berries,pastry"
T95,"sugar,processed cheese"
T96,"pickled vegetables,bottled water"
T97,"root vegetables,soda,waffles"
T98,"sausage,margarine,margarine"
T99,"spices,cat food,seasonal products"
T100,"root vegetables,other vegetables"
T101,"bottled beer,hard cheese"
T102,"yogurt,shopping bags"
T103,"meat,domestic eggs"
T104,"soda,bottled water,whipped/sour cream"
T105,"canned beer,shopping bags"
T106,"soda,margarine,specialty chocolate"
T107,"whole milk,canned beer"
T108,"fruit/vegetable juice,spices"
T109,"butter milk,newspapers"
T110,"mustard,brown bread"
T111,"frankfurter,margarine"
T112,"whole milk,light bulbs"
T113,"root vegetables,soda"
T114,"beverages,chocolate marshmallow"
T115,"frankfurter,bottled beer"
T116,"citrus fruit,pastry"
T117,"newspapers,whole milk,chewing gum"
T118,"tropical fruit,soda"
T119,"coffee,frozen vegetables"
T120,"beef,whole milk"
T121,"coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda"
T122,"brown bread,shopping bags"
T123,"whole milk,beverages,frozen fruits,fruit/vegetable juice"
T124,"sausage,shopping bags,light bulbs"
T125,"bottled water,tropical fruit,domestic eggs"
T126,"whipped/sour cream,pickled vegetables,dish cleaner"
T127,"tropical fruit,soft cheese"
T128,"citrus fruit,other vegetables"
T129,"whole milk,whipped/sour cream"
T130,"sausage,frozen meals,long life bakery product,soda"
T131,"condensed milk,rolls/buns,organic products"
T132,"sausage,bottled beer"
T133,"whole milk,tropical fruit"
T134,"beverages,other vegetables,curd"
T135,"berries,napkins"
T136,"coffee,hamburger meat,brown bread,detergent"
T137,"beef,whole milk,chewing gum"
T138,"frankfurter,pip fruit"
T139,"beef,house keeping products"
T140,"bottled beer,fruit/vegetable juice"
T141,"brown bread,hair spray"
T142,"frankfurter,prosecco"
T143,"frankfurter,whole milk"
T144,"salty snack,salty snack,canned fish"
T145,"seasonal products,white bread"
T146,"rolls/buns,flour"
T147,"whole milk,soda"
T148,"root vegetables,soda"
T149,"sausage,rolls/buns"
T150,"brown bread,male cosmetics"
T151,"whole milk,domestic eggs,rolls/buns,long life bakery product"
T152,"bottled beer,berries"
T153,"male cosmetics,oil"
T154,"rolls/buns,yogurt"
T155,"root vegetables,domestic eggs"
T156,"whipped/sour cream,yogurt"
T157,"canned fish,coffee"
T158,"cat food,yogurt,bottled beer,pastry"
T159,"tropical fruit,whole milk,margarine,bottled beer"
T160,"margarine,domestic eggs"
T161,"salty snack,frozen meals"
T162,"pastry,white bread"
T163,"rolls/buns,whole milk"
T164,"cat food,soda"
T165,"rolls/buns,bottled beer,white bread"
T166,"dessert,frozen fish"
T167,"meat,whole milk"
T168,"whole milk,sausage,pet care,yogurt"
T169,"tropical fruit,cocoa drinks"
T170,"tropical fruit,sausage"
T171,"chewing gum,pot plants"
T172,"whole milk,frankfurter,whole milk,curd,canned vegetables"
T173,"root vegetables,pip fruit"
T174,"hamburger meat,whole milk"
T175,"frankfurter,beverages"
T176,"pasta,hamburger meat,dessert,bottled water"
T177,"other vegetables,whole milk"
T178,"UHT-milk,rolls/buns"
T179,"whole milk,specialty chocolate"
T180,"beef,berries"
T181,"whole milk,newspapers,whole milk,rolls/buns"
T182,"other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers"
T183,"whole milk,chocolate"
T184,"whole milk,meat"
T185,"soda,pip fruit,coffee"
T186,"fruit/vegetable juice,yogurt,rolls/buns,frozen vegetables"
T187,"whole milk,yogurt,frozen vegetables"
T188,"citrus fruit,other vegetables"
T189,"soda,sausage,butter milk,vinegar"
T190,"citrus fruit,beef,rolls/buns,whole milk"
T191,"other vegetables,bottled water"
T192,"finished products,whole milk"
T193,"specialty chocolate,brown bread"
T194,"frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream"
T195,"curd,whole milk"
T196,"dish cleaner,cling film/bags"
T197,"soda,whole milk"
T198,"hamburger meat,rolls/buns"
T199,"other vegetables,semi-finished bread,shopping bags"
T200,"cream cheese ,rolls/buns"
T201,"rolls/buns,packaged fruit/vegetables"
T202,"flour,cream cheese "
T203,"tropical fruit,white bread,red/blush wine"
T204,"sausage,sliced cheese"
T205,"root vegetables,butter"
T206,"other vegetables,cooking chocolate"
T207,"specialty bar,soda"
T208,"whipped/sour cream,red/blush wine"
T209,"seasonal products,other vegetables,bottled water"
T210,"beef,spices"
T211,"whole milk,napkins,napkins"
T212,"cream cheese ,semi-finished bread"
T213,"tropical fruit,pastry"
T214,"dessert,fruit/vegetable juice"
T215,"finished products,other vegetables"
T216,"photo/film,frankfurter,other vegetables,curd,waffles"
T217,"pork,pastry"
T218,"meat,whole milk"
T219,"tropical fruit,cookware,whole milk,oil"
T220,"bottled water,tropical fruit"
T221,"root vegetables,other vegetables,white wine"
T222,"whole milk,soda,mayonnaise"
T223,"frankfurter,root vegetables"
T224,"mayonnaise,tropical fruit,packaged fruit/vegetables,beverages,cereals"
T225,"shopping bags,whole milk,cling film/bags,bottled beer,newspapers"
T226,"whole milk,root vegetables"
T227,"pastry,soda,detergent"
T228,"other vegetables,tropical fruit"
T229,"pip fruit,bottled beer"
T230,"sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt"
T231,"rolls/buns,butter"
T232,"meat,sliced cheese"
T233,"other vegetables,beef,tropical fruit,brown bread,cat food"
T234,"pip fruit,pastry,rolls/buns,chocolate,soda"
T235,"liquor,sweet spreads"
T236,"chicken,fruit/vegetable juice"
T237,"citrus fruit,newspapers"
T238,"bottled beer,newspapers,seasonal products,bottled water"
T239,"whole milk,sugar"
T240,"napkins,canned vegetables"
T241,"processed cheese,roll products "
T242,"berries,brown bread"
T243,"butter milk,canned vegetables"
T244,"pork,other vegetables,shopping bags"
T245,"oil,UHT-milk"
T246,"candy,domestic eggs"
T247,"bottled water,frozen meals"
T248,"tropical fruit,whipped/sour cream,whipped/sour cream"
T249,"whole milk,softener,domestic eggs,soda"
T250,"packaged fruit/vegetables,root vegetables,sliced cheese,pip fruit"
T251,"pork,whole milk"
T252,"hamburger meat,rolls/buns,brown bread"
T253,"yogurt,other vegetables"
T254,"chocolate,herbs"
T255,"soda,other vegetables"
T256,"tropical fruit,grapes"
T257,"whole milk,rolls/buns,instant coffee"
T258,"domestic eggs,ham"
T259,"frankfurter,root vegetables"
T260,"margarine,frozen vegetables"
T261,"tropical fruit,pip fruit"
T262,"rolls/buns,chewing gum,other vegetables"
T263,"tropical fruit,specialty bar"
T264,"canned beer,frozen fish"
T265,"specialty cheese,onions"
T266,"liquor,hygiene articles"
T267,"butter,mayonnaise"
T268,"rice,jam"
T269,"dish cleaner,fruit/vegetable juice"
T270,"dessert,soda"
T271,"pip fruit,root vegetables"
T272,"sliced cheese,newspapers"
T273,"ham,yogurt"
T274,"root vegetables,ice cream,rolls/buns"
T275,"nut snack,whole milk"
T276,"cream cheese ,misc. beverages"
T277,"other vegetables,tropical fruit"
T278,"processed cheese,specialty bar"
T279,"soda,bottled water"
T280,"butter,whole milk"
T281,"pork,spread cheese"
T282,"butter,grapes,bottled water"
T283,"other vegetables,pip fruit,chocolate"
T284,"other vegetables,whole milk,yogurt,hard cheese,bottled beer"
T285,"dessert,bottled beer"
T286,"whole milk,soda,yogurt"
T287,"other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar"
T288,"sausage,whole milk,misc. beverages,specialty bar,soda"
T289,"bottled water,whole milk"
T290,"meat,other vegetables,chewing gum"
T291,"pork,coffee"
T292,"pork,rolls/buns"
T293,"frozen fish,specialty cheese"
T294,"beef,bottled water"
T295,"misc. beverages,soft cheese"
T296,"whole milk,soda"
T297,"bottled beer,other vegetables"
T298,"whole milk,bottled beer"
T299,"frankfurter,curd"
T300,"onions,sugar,mustard,rolls/buns"
T301,"yogurt,frozen meals"
T302,"pet care,newspapers,dog food"
T303,"citrus fruit,chocolate"
T304,"sliced cheese,shopping bags"
T305,"soda,seasonal products"
T306,"whole milk,newspapers"
T307,"pip fruit,soda"
T308,"frozen meals,margarine,semi-finished bread"
T309,"curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products"
T310,"whole milk,dessert,dish cleaner"
T311,"syrup,whole milk"
T312,"specialty cheese,brown bread"
T313,"hard cheese,sweet spreads"
T314,"other vegetables,margarine"
T315,"root vegetables,semi-finished bread,canned beer,newspapers"
T316,"chicken,domestic eggs"
T317,"pork,cereals"
T318,"whole milk,root vegetables"
T319,"yogurt,chocolate"
T320,"rolls/buns,rolls/buns"
T321,"ham,onions"
T322,"frankfurter,whole milk"
T323,"coffee,napkins"
T324,"citrus fruit,tropical fruit"
