ID,Itemsets
U1,Something's Gotta Give
U2,Something's Gotta Give
U3,Silkwood
U4,Aqua Teen Hunger Force: Vol. 1
U5,Something's Gotta Give
U6,Something's Gotta Give
U7,Immortal Beloved
U8,Something's Gotta Give
U9,Something's Gotta Give
U10,Silkwood
U11,Something's Gotta Give
U12,Lilo and Stitch
U13,"Rudolph the Red-Nosed Reindeer,Congo,Screamers,Dragonheart,Something's Gotta Give"
U14,Silkwood
U15,Never Die Alone
U16,Aqua Teen Hunger Force: Vol. 1
U17,Silkwood
U18,Something's Gotta Give
U19,The Killing
U20,Something's Gotta Give
U21,Silkwood
U22,Aqua Teen Hunger Force: Vol. 1
U23,I Love Lucy: Season 2
U24,"I Love Lucy: Season 2,Jade,Spitfire Grill,Dragonheart"
U25,Something's Gotta Give
U26,Jingle All the Way
U27,Something's Gotta Give
U28,"Lilo and Stitch,Something's Gotta Give"
U29,Lilo and Stitch
U30,Something's Gotta Give
U31,Never Die Alone
U32,Something's Gotta Give
U33,"Dragonheart,Justice League"
U34,"Spitfire Grill,Dragonheart"
U35,Something's Gotta Give
U36,Something's Gotta Give
U37,"Silkwood,The Powerpuff Girls Movie"
U38,"Silkwood,Something's Gotta Give"
U39,Aqua Teen Hunger Force: Vol. 1
U40,The Great Race
U41,Invader Zim
U42,Something's Gotta Give
U43,Something's Gotta Give
U44,Something's Gotta Give
U45,Aqua Teen Hunger Force: Vol. 1
U46,Silkwood
U47,Something's Gotta Give
U48,Lilo and Stitch
U49,What the #$*! Do We Know!?
U50,Something's Gotta Give
U51,"Lilo and Stitch,Something's Gotta Give"
U52,"Justice League,Lilo and Stitch"
U53,Something's Gotta Give
U54,I Love Lucy: Season 2
U55,Lilo and Stitch
U56,Aqua Teen Hunger Force: Vol. 1
U57,The Killing
U58,Something's Gotta Give
U59,Something's Gotta Give
U60,Something's Gotta Give
U61,"Aqua Teen Hunger Force: Vol. 1,Mostly Martha"
U62,I Love Lucy: Season 2
U63,Something's Gotta Give
U64,Immortal Beloved
U65,What the #$*! Do We Know!?
U66,Rudolph the Red-Nosed Reindeer
U67,Lilo and Stitch
U68,Spitfire Grill
U69,Lilo and Stitch
U70,Mostly Martha
U71,What the #$*! Do We Know!?
U72,Something's Gotta Give
U73,Rudolph the Red-Nosed Reindeer
U74,Something's Gotta Give
U75,Something's Gotta Give
U76,Something's Gotta Give
U77,Lilo and Stitch
U78,Something's Gotta Give
U79,Lilo and Stitch
U80,The Powerpuff Girls Movie
U81,I Love Lucy: Season 2
U82,Lilo and Stitch
U83,"Lilo and Stitch,The Weather Underground"
U84,Aqua Teen Hunger Force: Vol. 1
U85,"Justice League,Lilo and Stitch"
U86,Lilo and Stitch
U87,Rudolph the Red-Nosed Reindeer
U88,Lilo and Stitch
U89,Something's Gotta Give
U90,Mostly Martha
U91,Something's Gotta Give
U92,Something's Gotta Give
U93,Immortal Beloved
U94,Something's Gotta Give
U95,Lilo and Stitch
U96,Lilo and Stitch
U97,"Something's Gotta Give,ABC Primetime: Mel Gibson's The Passion of the Christ"
U98,Silkwood
U99,Something's Gotta Give
U100,Something's Gotta Give
U101,Something's Gotta Give
U102,"The Killing,Immortal Beloved"
U103,Immortal Beloved
U104,Lilo and Stitch
U105,Dragonheart
U106,"The Weather Underground,Mostly Martha"
U107,Immortal Beloved
U108,"Immortal Beloved,Lilo and Stitch"
U109,"Spitfire Grill,Lilo and Stitch,Something's Gotta Give"
U110,Lilo and Stitch
U111,Lilo and Stitch
U112,Silkwood
U113,ABC Primetime: Mel Gibson's The Passion of the Christ
U114,Dragonheart
U115,Lilo and Stitch
U116,"Lilo and Stitch,Something's Gotta Give"
U117,Silkwood
U118,"Justice League,Lilo and Stitch"
U119,Lilo and Stitch
U120,Lilo and Stitch
U121,Something's Gotta Give
U122,Aqua Teen Hunger Force: Vol. 1
U123,Something's Gotta Give
U124,"Jingle All the Way,Lilo and Stitch"
U125,Lilo and Stitch
U126,Lilo and Stitch
U127,Lilo and Stitch
U128,Aqua Teen Hunger Force: Vol. 1
U129,Lilo and Stitch
U130,Something's Gotta Give
U131,Something's Gotta Give
U132,Lilo and Stitch
U133,Lilo and Stitch
U134,Aqua Teen Hunger Force: Vol. 1
U135,Never Die Alone
U136,Lilo and Stitch
U137,Something's Gotta Give
U138,Aqua Teen Hunger Force: Vol. 1
U139,I Love Lucy: Season 2
U140,Something's Gotta Give
U141,ABC Primetime: Mel Gibson's The Passion of the Christ
U142,Spitfire Grill
U143,Lilo and Stitch
U144,Something's Gotta Give
U145,Something's Gotta Give
U146,Lilo and Stitch
U147,"Richard III,Aqua Teen Hunger Force: Vol. 1"
U148,The Weather Underground
U149,Something's Gotta Give
U150,Dragonheart
U151,Silkwood
U152,Rudolph the Red-Nosed Reindeer
U153,Something's Gotta Give
