ID,Itemsets
T1,"shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil"
T2,"burgers,meatballs,eggs"
T3,chutney
T4,"turkey,avocado"
T5,"mineral water,milk,energy bar,whole wheat rice,green tea"
T6,low fat yogurt
T7,"whole wheat pasta,french fries"
T8,"soup,light cream,shallot"
T9,"frozen vegetables,spaghetti,green tea"
T10,french fries
T11,"eggs,pet food"
T12,cookies
T13,"turkey,burgers,mineral water,eggs,cooking oil"
T14,"spaghetti,champagne,cookies"
T15,"mineral water,salmon"
T16,mineral water
T17,"shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt"
T18,"turkey,eggs"
T19,"turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate"
T20,"meatballs,milk,honey,french fries,protein bar"
T21,"red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo"
T22,"rice,sparkling water"
T23,"spaghetti,mineral water,ham,body spray,pancakes,green tea"
T24,"burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste"
T25,eggs
T26,"parmesan cheese,spaghetti,soup,avocado,milk,fresh bread"
T27,"ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope"
T28,sparkling water
T29,"mineral water,eggs,chicken,chocolate,french fries"
T30,"frozen vegetables,spaghetti,yams,mineral water"
T31,"herb & pepper,tomato sauce,light cream,magazines"
T32,"mineral water,chocolate,avocado,eggs"
T33,"turkey,french fries,strawberries"
T34,"frozen vegetables,strong cheese,chocolate"
T35,cookies
T36,"pickles,spaghetti,salmon,escalope"
T37,"energy bar,french fries"
T38,"red wine,ground beef,mineral water"
T39,"mineral water,cake,cottage cheese"
T40,"pickles,champagne,green tea"
T41,spaghetti
T42,"fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope"
T43,spaghetti
T44,"soup,meatballs,hot dogs,sparkling water"
T45,escalope
T46,"soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea"
T47,"mineral water,chicken,cereals,clothes accessories"
T48,"mineral water,bug spray"
T49,"avocado,muffins"
T50,"burgers,black tea,green tea"
T51,"spaghetti,chocolate,brownies,white wine,green tea"
T52,"fresh tuna,mineral water,eggs"
T53,"spaghetti,muffins"
T54,"spaghetti,chocolate"
T55,"french fries,escalope,champagne"
T56,"tomato sauce,light mayo"
T57,"turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil"
T58,"eggs,cookies"
T59,"soup,chicken,gums,soda,body spray,energy drink,green tea"
T60,"turkey,frozen vegetables,mineral water,cider,cooking oil,green tea"
T61,spaghetti
T62,clothes accessories
T63,energy drink
T64,"soup,bug spray,shallot,protein bar,green tea"
T65,"turkey,eggs"
T66,french fries
T67,"chocolate,milk"
T68,"herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice"
T69,cookies
T70,"shrimp,pasta"
T71,"grated cheese,herb & pepper,tomatoes,tomato sauce,corn"
T72,"burgers,escalope,shallot"
T73,cookies
T74,yogurt cake
T75,"soup,eggs"
T76,cookies
T77,"mineral water,chocolate,low fat yogurt"
T78,"eggs,strawberries"
T79,"grated cheese,ground beef,spaghetti,mineral water,white wine"
T80,mint
T81,"eggs,cake,french fries"
T82,"burgers,spaghetti,milk,french fries,green tea"
T83,"mineral water,energy bar,butter,french fries"
T84,"burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil"
T85,energy bar
T86,"energy bar,energy drink"
T87,"chocolate,frozen smoothie"
T88,low fat yogurt
T89,"asparagus,salad"
T90,"burgers,french fries,low fat yogurt,green tea"
T91,low fat yogurt
T92,"burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt"
T93,"champagne,low fat yogurt"
T94,champagne
T95,"burgers,almonds,eggs,french fries,cookies,green tea"
T96,"ham,soup,escalope,body spray"
T97,"turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines"
T98,"muffins,eggs,cookies"
T99,cookies
T100,"frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea"
T101,"mineral water,barbecue sauce,chocolate"
T102,"burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini"
T103,"turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese"
T104,"ham,spaghetti,chocolate,eggs"
T105,"ground beef,energy bar,pet food,carrots,protein bar"
T106,"ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs"
T107,"mineral water,olive oil,gums,cooking oil"
T108,"shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray"
T109,"shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt"
T110,"spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread"
T111,"shrimp,pasta,mineral water,eggs"
T112,"burgers,oil,tomato juice,fresh bread"
T113,"french wine,eggs,chocolate,low fat yogurt"
T114,"chicken,eggs,french fries,pancakes"
T115,"turkey,herb & pepper,salmon,white wine,candy bars"
T116,"grated cheese,spaghetti,olive oil,eggs,french fries,green tea"
T117,"mineral water,energy bar"
T118,"eggs,french fries"
T119,"burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice"
T120,muffins
T121,pasta
T122,"tomatoes,spaghetti,frozen smoothie"
T123,"ground beef,spaghetti,milk"
T124,french fries
T125,"chocolate,milk"
T126,"burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt"
T127,"ground beef,mineral water,antioxydant juice,protein bar"
T128,"grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink"
T129,grated cheese
T130,pancakes
T131,frozen smoothie
T132,"carrots,green tea"
T133,chocolate
T134,"turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn"
T135,"frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread"
T136,cookies
T137,ground beef
T138,"turkey,eggs,chocolate,frozen smoothie,tomato juice"
T139,"frozen vegetables,cooking oil,mashed potato"
T140,"frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice"
T141,"red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie"
T142,"chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies"
T143,"chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs"
T144,"turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries"
T145,cookies
T146,"turkey,tomatoes,cake"
T147,"yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne"
T148,rice
T149,"chocolate,milk"
T150,"shrimp,pasta,frozen vegetables,water spray"
T151,"burgers,mineral water,milk,eggs,whole wheat rice,mint"
T152,"mineral water,vegetables mix,cake,frozen smoothie,brownies"
T153,cookies
T154,"shrimp,pasta,chicken,chocolate bread"
T155,shallot
T156,"shrimp,pasta,spaghetti,eggs,hot dogs,green tea"
T157,burgers
T158,"red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil"
T159,"burgers,grated cheese,spaghetti,avocado,milk,oil,french fries"
T160,"herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil"
T161,"shrimp,pasta,yams,milk,chocolate"
T162,"butter,green tea"
T163,light mayo
T164,low fat yogurt
T165,"herb & pepper,shrimp,pasta,spaghetti,milk"
T166,"burgers,eggs"
T167,"turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread"
T168,cookies
T169,escalope
T170,"pepper,french fries,strawberries,pancakes,low fat yogurt"
T171,"frozen vegetables,yams,chicken,honey,light mayo"
T172,"chocolate,champagne"
T173,"herb & pepper,honey,cake,rice,protein bar"
T174,"burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus"
T175,"chocolate,mineral water,corn,cottage cheese,green tea"
T176,muffins
T177,"ham,french wine,escalope"
T178,"spaghetti,milk,whole wheat rice,mint green tea"
T179,"chocolate,body spray"
T180,"frozen vegetables,french fries,hot dogs"
T181,candy bars
T182,"burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine"
T183,"parmesan cheese,ground beef"
T184,"pancakes,whole wheat rice,candy bars"
T185,"eggs,eggplant,cookies"
T186,"frozen vegetables,mineral water"
T187,chocolate
T188,"turkey,spaghetti,milk,whole wheat rice,chocolate"
T189,"whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar"
T190,"cooking oil,tomato juice"
T191,"frozen vegetables,milk,eggs,french fries,green tea"
T192,"fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo"
T193,"red wine,honey,hot dogs"
T194,"milk,bacon,eggs,french fries,fresh bread"
T195,"french fries,yogurt cake"
T196,milk
T197,french fries
T198,chocolate
T199,"burgers,ham,red wine"
T200,"shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies"
T201,green tea
T202,low fat yogurt
T203,"turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt"
T204,"turkey,eggs"
T205,"bug spray,hot dogs"
T206,oil
T207,"soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries"
T208,"spaghetti,chocolate,yogurt cake"
T209,"turkey,mineral water,meatballs"
T210,"ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs"
T211,"frozen vegetables,mineral water,vegetables mix,escalope"
T212,"herb & pepper,red wine,tomatoes"
T213,"whole wheat pasta,olive oil,cereals,brownies,green tea"
T214,cookies
T215,"olive oil,cookies,mushroom cream sauce"
T216,"ground beef,pancakes,cooking oil,gluten free bar,light mayo"
T217,"mineral water,french fries"
T218,herb & pepper
T219,salmon
T220,"eggs,escalope"
T221,"mineral water,tomato juice"
T222,mineral water
T223,"shrimp,mineral water,soup,black tea"
T224,"cake,frozen smoothie"
T225,"turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice"
T226,"frozen vegetables,ground beef,mineral water,olive oil,pancakes"
T227,"turkey,burgers,ground beef,milk,olive oil,cake,fresh bread"
T228,"whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar"
T229,"eggs,whole wheat rice,cake,green tea,escalope"
T230,"ground beef,yams,soup,avocado,salmon,green tea"
T231,milk
T232,"spaghetti,chocolate"
T233,"whole wheat pasta,honey"
T234,"whole wheat pasta,green tea"
T235,"spaghetti,meatballs,vegetables mix,chocolate"
T236,"eggs,low fat yogurt"
T237,"fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice"
T238,"mineral water,green grapes,hot dogs,fresh bread"
T239,"frozen vegetables,meatballs,eggs,chocolate"
T240,chocolate
T241,"meatballs,milk"
T242,low fat yogurt
T243,green tea
T244,"escalope,pasta"
T245,"pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines"
T246,"red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea"
T247,"burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea"
T248,"french wine,cake,fresh bread"
T249,"burgers,frozen vegetables,flax seed,eggs"
T250,red wine
T251,"pepper,mineral water,energy bar,green grapes"
T252,"milk,eggs,cake,chocolate,french fries,green tea"
T253,french fries
T254,almonds
T255,"burgers,mineral water,green tea"
T256,"milk,pancakes"
T257,"pancakes,eggs,salt,tomato juice"
T258,mineral water
T259,"ham,spaghetti,mineral water,olive oil"
T260,"salt,tomato juice,fresh bread"
T261,"spaghetti,mushroom cream sauce"
T262,"spaghetti,mineral water,eggs,pet food"
T263,"frozen vegetables,spaghetti"
T264,energy drink
T265,muffins
T266,"turkey,milk"
T267,cookies
T268,chocolate
T269,"spaghetti,mineral water,eggs,cooking oil,chocolate,escalope"
T270,"shrimp,frozen vegetables,pepper,spaghetti,green tea"
